id,operator,nomor,warna,asal,tujuan,pulang_pergi,waypoints_joined,raw_route
R043,KPUM,68,Kuning,Kelambir V / Batas Kota,Pertiwi / SMU XI,True,Kelambir V / Batas Kota | Pertiwi / SMU XI,Kelambir V / Batas Kota - Pertiwi / SMU XI (PP)
R044,KPUM,72,Kuning,Simpang Bw / Batas Kota,T. Pinang Baris,True,Simpang Bw / Batas Kota | T. Pinang Baris,Simpang Bw / Batas Kota - T. Pinang Baris (PP)
R045,KPUM,81,Kuning,P. Simalingkar,Tembung / Batas Kota,True,P. Simalingkar | Tembung / Batas Kota,P. Simalingkar - Tembung / Batas Kota (PP)
R046,KPUM,84,Kuning,SMU XI Pertiwi,Tj. Selamat / Batas Kota,True,SMU XI Pertiwi | Tj. Selamat / Batas Kota,SMU XI Pertiwi - Tj. Selamat / Batas Kota (PP)
R047,KPUM,86,Kuning,T. Pinang Baris / Sentis / Batas Kota,T. Pinang Baris / Sentis / Batas Kota,True,T. Pinang Baris / Sentis / Batas Kota,T. Pinang Baris / Sentis / Batas Kota (PP)
R048,KPUM,87,Kuning,Denai Ujung Batas Kota,Belawan,True,Denai Ujung Batas Kota | Belawan,Denai Ujung Batas Kota - Belawan (PP)
R049,KPUM,90,Kuning,Belawan,Deli Tua,True,Belawan | Deli Tua,Belawan - Deli Tua (PP)
R050,KPUM,91,Kuning,Sentis Bw / Batas Kota,T. Amplas,True,Sentis Bw / Batas Kota | T. Amplas,Sentis Bw / Batas Kota - T. Amplas (PP)
R051,KPUM,91B,Kuning,Pasar V Johor,Tb. Sihombing / Batas Kota,True,Pasar V Johor | Tb. Sihombing / Batas Kota,Pasar V Johor - Tb. Sihombing / Batas Kota (PP)
R052,Medan Desa Maju,45,-,Letda Sujono / Batas Kota,Jl. Gaperta,True,Letda Sujono / Batas Kota | Jl. Gaperta,Letda Sujono / Batas Kota - Jl. Gaperta (PP)
R053,Wampu Mini,108,Kuning,Pasar II,Gatot Subroto,True,Pasar II | Pajak Sore | Padang Bulan | Pringgan | Petisah | Plaza Medan Fair | Gaperta | Gatot Subroto,Pasar II - Pajak Sore - Padang Bulan - Pringgan - Petisah - Plaza Medan Fair - Gaperta - Gatot Subroto (PP)
R054,Wampu Mini,109,Kuning,T. Morawa / Batas Kota,Tj. Selamat / Batas Kota,True,T. Morawa / Batas Kota | Tj. Selamat / Batas Kota,T. Morawa / Batas Kota - Tj. Selamat / Batas Kota (PP)
R055,Wampu Mini,110,Kuning,Kolam Renang Morina,Klumpang / Batas Kota,True,Kolam Renang Morina | Klumpang / Batas Kota,Kolam Renang Morina - Klumpang / Batas Kota (PP)
R056,Wampu Mini,123,Kuning,Medan Permai / Batas Kota,Perum G. Martubung,True,Medan Permai / Batas Kota | Perum G. Martubung,Medan Permai / Batas Kota - Perum G. Martubung (PP)
R057,Wampu Mini,136,Kuning,T. Pinang Baris,Sei Rotan / Batas Kota,True,T. Pinang Baris | Jl. Gatot Subroto | Sei Rotan / Batas Kota,T. Pinang Baris - Jl. Gatot Subroto - Sei Rotan / Batas Kota (PP)
R058,Wampu Mini,137,Kuning,T. Morawa / Batas Kota,Tj. Anom / Batas Kota,True,T. Morawa / Batas Kota | Tj. Anom / Batas Kota,T. Morawa / Batas Kota - Tj. Anom / Batas Kota (PP)
R059,Wampu Mini,168,Kuning,B. Katamso / Batas Kota,Belawan,True,B. Katamso / Batas Kota | Belawan,B. Katamso / Batas Kota - Belawan (PP)
R060,RMC (Rahayu Medan Ceria),41,Merah Hijau,Tembung / Batas Kota,RSU Adam Malik,True,Tembung / Batas Kota | Jl. HM Yamin | Jl. Amaliun | Yuki Simpang Raya | Jl. Juanda | Jl. Monginsidi | USU | Padang Bulan | RSU Adam Malik,Tembung / Batas Kota - Jl. HM Yamin - Jl. Amaliun - Yuki Simpang Raya - Jl. Juanda - Jl. Monginsidi - USU - Padang Bulan - RSU Adam Malik (PP)
R061,RMC (Rahayu Medan Ceria),42,Merah Hijau,RSU Adam Malik,Komp. IKIP / Medan Estate / Batas Kota,True,RSU Adam Malik | Pringgan | Komp. IKIP / Medan Estate / Batas Kota,RSU Adam Malik - Pringgan - Komp. IKIP / Medan Estate / Batas Kota (PP)
R062,RMC (Rahayu Medan Ceria),43,Merah Hijau,P. Simalingkar / Batas Kota,Perumnas Mandala / Batas Kota,True,P. Simalingkar / Batas Kota | Perumnas Mandala / Batas Kota,P. Simalingkar / Batas Kota - Perumnas Mandala / Batas Kota (PP)
R063,RMC (Rahayu Medan Ceria),54,Merah Hijau,Desa Simalingkar,Komp. IKIP / Medan Estate,True,Desa Simalingkar | Kebun Binatang Simalingkar | USU | Pringgan | Komp. IKIP / Medan Estate,Desa Simalingkar - Kebun Binatang Simalingkar - USU - Pringgan - Komp. IKIP / Medan Estate (PP)
R064,RMC (Rahayu Medan Ceria),58,Merah Hijau,Tj. Anom / Batas Kota,Tembung / Batas Kota,True,Tj. Anom / Batas Kota | Tembung / Batas Kota,Tj. Anom / Batas Kota - Tembung / Batas Kota (PP)
R065,RMC (Rahayu Medan Ceria),103,Merah Hijau,Ikip / Medan Estate,Pancur Batu,True,Ikip / Medan Estate | Pancur Batu,Ikip / Medan Estate - Pancur Batu (PP)
R066,RMC (Rahayu Medan Ceria),104,Merah Hijau,Padang Bulan,UNIMED,True,Padang Bulan | Pringgan | Aksara | UNIMED,Padang Bulan - Pringgan - Aksara - UNIMED (PP)
R067,RMC (Rahayu Medan Ceria),105,Merah Hijau,Terminal Amplas,Komplek Uka Terjun,True,Terminal Amplas | Marelan | Pancing | Aksara | Komplek Uka Terjun,Terminal Amplas - Marelan - Pancing - Aksara - Komplek Uka Terjun (PP)
R068,RMC (Rahayu Medan Ceria),106,Merah Hijau,Terminal Amplas,Perumnas Mandala,True,Terminal Amplas | Perumnas Mandala,Terminal Amplas - Perumnas Mandala (PP)
R069,RMC (Rahayu Medan Ceria),107,Merah Hijau,Pancur Batu,Perumnas Mandala,True,Pancur Batu | Perumnas Mandala,Pancur Batu - Perumnas Mandala (PP)
R070,RMC (Rahayu Medan Ceria),120,Merah Hijau,T. Pinang Baris,Amplas,True,T. Pinang Baris | Setia Budi | USU | Padang Bulan | Titi Kuning | Amplas,T. Pinang Baris - Setia Budi - USU - Padang Bulan - Titi Kuning - Amplas (PP)
R071,RMC (Rahayu Medan Ceria),125,Merah Hijau,Medan Amplas,Medan Labuhan,False,Medan Amplas | Martubung | Medan Labuhan,Medan Amplas - Martubung - Medan Labuhan
R072,Medan Bus,11,Biru,T. Morawa / Batas Kota,Gabion,True,T. Morawa / Batas Kota | Belawan | Gabion,T. Morawa / Batas Kota - Belawan - Gabion (PP)
R073,Medan Bus,36,Biru,Karya Wisata,Tembung / Batas Kota,True,Karya Wisata | Tembung / Batas Kota,Karya Wisata - Tembung / Batas Kota (PP)
R074,Medan Bus,45,Biru,T. Pinang Baris,Tembung / Batas Kota,True,T. Pinang Baris | Tembung / Batas Kota,T. Pinang Baris - Tembung / Batas Kota (PP)
R075,Medan Bus,47,Biru,T. Pinang Baris,Perumnas Mandala / Batas Kota,True,T. Pinang Baris | Perumnas Mandala / Batas Kota,T. Pinang Baris - Perumnas Mandala / Batas Kota (PP)
R076,Medan Bus,56,Biru,Tj. Morawa / Batas Kota,Gabion,True,Tj. Morawa / Batas Kota | Belawan | Gabion,Tj. Morawa / Batas Kota - Belawan - Gabion (PP)
R077,Medan Bus,135,Biru,Amplas,Helvetia,True,Amplas | Padang Bulan | USU | Helvetia,Amplas - Padang Bulan - USU - Helvetia (PP)
R078,Medan Hikmah,26,-,Desa Terjun / Batas Kota,T. Amplas,True,Desa Terjun / Batas Kota | T. Amplas,Desa Terjun / Batas Kota - T. Amplas (PP)
R079,Medan Hikmah,62,-,T. Amplas,Desa Terjun / Batas Kota,True,T. Amplas | Desa Terjun / Batas Kota,T. Amplas - Desa Terjun / Batas Kota (PP)
R080,Medan Hikmah,63,-,T. Belawan,Pancur Batu / Batas Kota,True,T. Belawan | Pancur Batu / Batas Kota,T. Belawan - Pancur Batu / Batas Kota (PP)
R081,Medan Kobun,62,-,Tuntungan / Batas Kota,T. Amplas,True,Tuntungan / Batas Kota | T. Amplas,Tuntungan / Batas Kota - T. Amplas (PP)
R082,Medan Kobun,63,-,Kedai Durian / Batas Kota,T. Pinang Baris,True,Kedai Durian / Batas Kota | T. Pinang Baris,Kedai Durian / Batas Kota - T. Pinang Baris (PP)
R083,Nasional Medan Transport,K04,Biru,P. Simalingkar,Simp. Bw / Batas Kota,True,P. Simalingkar | Simp. Bw / Batas Kota,P. Simalingkar - Simp. Bw / Batas Kota (PP)
R084,Nasional Medan Transport,25,Biru,Tj. Selamat / Batas Kota,Veteran / Pajak Pasar,True,Tj. Selamat / Batas Kota | Veteran / Pajak Pasar,Tj. Selamat / Batas Kota - Veteran / Pajak Pasar (PP)
R085,Nasional Medan Transport,M27/31,Biru,T. Morawa / Batas Kota,Tj. Selamat / Batas Kota,True,T. Morawa / Batas Kota | Tj. Selamat / Batas Kota,T. Morawa / Batas Kota - Tj. Selamat / Batas Kota (PP)
R086,Nasional Medan Transport,M28,Biru,P. III Simalingkar,Veteran / Pajak Pasar,True,P. III Simalingkar | Jl. R. Saleh | Veteran / Pajak Pasar,P. III Simalingkar - Jl. R. Saleh - Veteran / Pajak Pasar (PP)
R087,Nasional Medan Transport,M29,Biru,Simp. Selayang,Letda Sujono / Batas Kota,True,Simp. Selayang | Letda Sujono / Batas Kota,Simp. Selayang - Letda Sujono / Batas Kota (PP)
R088,Medan Morina,75,Hijau,Batas Kota / Ikip Unimed,Bagan Deli,True,Batas Kota / Ikip Unimed | Bagan Deli,Batas Kota / Ikip Unimed - Bagan Deli (PP)
R089,Medan Morina,80,Hijau,Perumnas Martubung,Tj. Selamat / Batas Kota,True,Perumnas Martubung | Jl. Sunggal | Tj. Selamat / Batas Kota,Perumnas Martubung - Jl. Sunggal - Tj. Selamat / Batas Kota (PP)
R090,Medan Morina,81,Hijau,Amplas,Belawan,False,Amplas | Belawan,Amplas - Belawan
R091,Medan Morina,139,Hijau,Letda Sujono / Batas Kota,Terminal Belawan,True,Letda Sujono / Batas Kota | Terminal Belawan,Letda Sujono / Batas Kota - Terminal Belawan (PP)
R092,Medan Morina,140,Hijau,Terminal Pinang Baris,Letda Sujono / Batas Kota,True,Terminal Pinang Baris | Letda Sujono / Batas Kota,Terminal Pinang Baris - Letda Sujono / Batas Kota (PP)
R093,Medan Morina,143,Hijau,Simalingkar B,Tembung / Batas Kota,True,Simalingkar B | Tembung / Batas Kota,Simalingkar B - Tembung / Batas Kota (PP)
R094,Mitra Transport,A97,Merah Kuning,Pancur Batu,Lubuk Pakam,False,Pancur Batu | Amplas | Tanjung Morawa | Lubuk Pakam,Pancur Batu - Amplas - Tanjung Morawa - Lubuk Pakam
R095,Mitra Transport,141,Merah Kuning,Pancur Batu / Batas Kota,Perumnas Mandala / Batas Kota,True,Pancur Batu / Batas Kota | Perumnas Mandala / Batas Kota,Pancur Batu / Batas Kota - Perumnas Mandala / Batas Kota (PP)
R096,Mitra Transport,142,Merah Kuning,Pancur Batu / Batas Kota,Gabion Belawan,True,Pancur Batu / Batas Kota | Gabion Belawan,Pancur Batu / Batas Kota - Gabion Belawan (PP)
R097,Mitra Transport,143,Merah Kuning,Tembung Pasar X / Batas Kota,Tj. Anom / Batas Kota,True,Tembung Pasar X / Batas Kota | Tj. Anom / Batas Kota,Tembung Pasar X / Batas Kota - Tj. Anom / Batas Kota (PP)
R098,Mitra Transport,144,Merah Kuning,Desa Martoba,Desa Kelambir V / Batas Kota,True,Desa Martoba | Desa Kelambir V / Batas Kota,Desa Martoba - Desa Kelambir V / Batas Kota (PP)
R099,Mitra Transport,145,Merah Kuning,Tj. Anom / Batas Kota,Tembung Pasar X / Batas Kota,True,Tj. Anom / Batas Kota | Tembung Pasar X / Batas Kota,Tj. Anom / Batas Kota - Tembung Pasar X / Batas Kota (PP)
R100,Mitra Transport,146,Merah Kuning,RSU Adam Malik,Hamparan Perak / Batas Kota,True,RSU Adam Malik | Hamparan Perak / Batas Kota,RSU Adam Malik - Hamparan Perak / Batas Kota (PP)
R101,Mitra Transport,63,Merah Kuning,Amplas,Pinang Baris,False,Amplas | Padang Bulan | Pinang Baris,Amplas - Padang Bulan - Pinang Baris
R102,Mitra Transport,03,Merah Kuning,Simpang Pos,Simpang Melati,False,Simpang Pos | Simpang Melati,Simpang Pos - Simpang Melati
R103,Mitra Transport,30,Merah Kuning,Amplas,Belawan,False,Amplas | Belawan,Amplas - Belawan
R104,Mekar Jaya,116,Kuning,Pasar V / Batas Kota,Terjun / Batas Kota,True,Pasar V / Batas Kota | Terjun / Batas Kota,Pasar V / Batas Kota - Terjun / Batas Kota (PP)
R105,Medan Mars,13,Hijau,Perumnas Mandala / Batas Kota,Tj. Gusta Sukadono,True,Perumnas Mandala / Batas Kota | Tj. Gusta Sukadono,Perumnas Mandala / Batas Kota - Tj. Gusta Sukadono (PP)
R106,Medan Mars,60,Hijau,Aksara,Pasar I,False,Aksara | Hayam Wuruk | Padang Bulan | Pasar I,Aksara - Hayam Wuruk - Padang Bulan - Pasar I
R107,Medan Mars,61,Hijau,Simalingkar,Belawan,False,Simalingkar | Padang Bulan | Belawan,Simalingkar - Padang Bulan - Belawan
R108,Medan Mars,65,Hijau,Tembung / Batas Kota,Bagan Deli / Belawan,True,Tembung / Batas Kota | Bagan Deli / Belawan,Tembung / Batas Kota - Bagan Deli / Belawan (PP)
R109,Medan Mars,70,Hijau,Perumnas Mandala / Batas Kota,T. Pinang Baris,True,Perumnas Mandala / Batas Kota | T. Pinang Baris,Perumnas Mandala / Batas Kota - T. Pinang Baris (PP)
R110,Medan Mars,71,Hijau,Tj. Gusta,Tembung / Batas Kota,True,Tj. Gusta | Tembung / Batas Kota,Tj. Gusta - Tembung / Batas Kota (PP)
R111,Medan Mars,45,Hijau,B. Katamso / Batas Kota,Pasar V / Batas Kota,True,B. Katamso / Batas Kota | Pasar V / Batas Kota,B. Katamso / Batas Kota - Pasar V / Batas Kota (PP)
R112,Medan Mars,128,Hijau,Letda Sujono / Batas Kota,Belawan / Gabion,True,Letda Sujono / Batas Kota | Belawan / Gabion,Letda Sujono / Batas Kota - Belawan / Gabion (PP)
R113,Medan Mars,129,Hijau,B. Katamso / Batas Kota,Belawan / Gabion,True,B. Katamso / Batas Kota | Belawan / Gabion,B. Katamso / Batas Kota - Belawan / Gabion (PP)
R114,Medan Mars,130,Hijau,Tj. Selamat / Batas Kota,Belawan / Gabion,True,Tj. Selamat / Batas Kota | Belawan / Gabion,Tj. Selamat / Batas Kota - Belawan / Gabion (PP)
R115,Medan Mars,131,Hijau,Jamin Ginting / Batas Kota,Gabion,True,Jamin Ginting / Batas Kota | Gabion,Jamin Ginting / Batas Kota - Gabion (PP)
R116,Medan Mars,133,Hijau,Tj. Selamat / Batas Kota,Pajak Pasar / Batas Kota,True,Tj. Selamat / Batas Kota | Pajak Pasar / Batas Kota,Tj. Selamat / Batas Kota - Pajak Pasar / Batas Kota (PP)
R117,MRX,-,Putih,Helvetia,Amplas,False,Helvetia | Zipur | Jl. Kapt. Muslim | Jl. Gatot Subroto | Jl. Iskandar Muda | Jl. Gajah Mada | Jl. S. Parman | Palladium | Merdeka Walk | Stasiun Kereta Api | Pajak Ikan Lama | Cirebon | Garuda Plaza Hotel | Jl. Sisingamangaraja | Amplas,Helvetia - Zipur - Jl. Kapt. Muslim - Jl. Gatot Subroto - Jl. Iskandar Muda - Jl. Gajah Mada - Jl. S. Parman - Palladium - Merdeka Walk - Stasiun Kereta Api - Pajak Ikan Lama - Cirebon - Garuda Plaza Hotel - Jl. Sisingamangaraja - Amplas
R118,Sandhra Frima,-,Putih Hijau,Pancur Batu,Pagurawan,False,Pancur Batu | Simp. RSUP Adam Malik | Simp. Selayang | Simp. Simalingkar | Simp. Pos | Titi Kuning | Amplas | Tanjung Morawa | Simp. Kayu Besar | Lubuk Pakam | Sei Rampah | Pagurawan,Pancur Batu - Simp. RSUP Adam Malik - Simp. Selayang - Simp. Simalingkar - Simp. Pos - Titi Kuning - Amplas - Tanjung Morawa - Simp. Kayu Besar - Lubuk Pakam - Sei Rampah - Pagurawan
